2018-02-23 15:03:39.264 INFO  ProxyRunner:33 - 启动定时更新代理服务...
2018-02-23 15:04:39.25 INFO  HttpUtil:81 - 卡死位置5
2018-02-23 15:04:39.25 INFO  ProxyApi:44 - 获取代理ip: 113.236.34.222
2018-02-23 15:04:39.26 INFO  ProxyApi:45 - 获取代理port: 38836
2018-02-23 15:04:44.96 INFO  HttpUtil:63 - 卡死位置1
2018-02-23 15:04:44.286 INFO  HttpUtil:68 - 卡死位置2
2018-02-23 15:04:44.286 INFO  HttpUtil:73 - 卡死位置3
2018-02-23 15:04:44.286 INFO  HttpUtil:78 - 卡死位置4
2018-02-23 15:04:44.286 INFO  HttpUtil:81 - 卡死位置5
2018-02-23 15:04:44.287 INFO  ProxyApi:44 - 获取代理ip: 180.110.5.14
2018-02-23 15:04:44.287 INFO  ProxyApi:45 - 获取代理port: 46058
2018-02-23 15:04:49.363 INFO  HttpUtil:63 - 卡死位置1
2018-02-23 15:04:49.454 INFO  HttpUtil:68 - 卡死位置2
2018-02-23 15:04:49.454 INFO  HttpUtil:73 - 卡死位置3
2018-02-23 15:04:49.455 INFO  HttpUtil:78 - 卡死位置4
2018-02-23 15:04:49.455 INFO  HttpUtil:81 - 卡死位置5
2018-02-23 15:04:49.455 INFO  ProxyApi:44 - 获取代理ip: 113.236.34.222
2018-02-23 15:04:49.455 INFO  ProxyApi:45 - 获取代理port: 38836
2018-02-23 15:04:54.530 INFO  HttpUtil:63 - 卡死位置1
2018-02-23 15:04:54.663 INFO  HttpUtil:68 - 卡死位置2
2018-02-23 15:04:54.663 INFO  HttpUtil:73 - 卡死位置3
2018-02-23 15:04:54.663 INFO  HttpUtil:78 - 卡死位置4
2018-02-23 15:04:54.663 INFO  HttpUtil:81 - 卡死位置5
2018-02-23 15:04:54.664 INFO  ProxyApi:44 - 获取代理ip: 115.202.74.199
2018-02-23 15:04:54.664 INFO  ProxyApi:45 - 获取代理port: 16692
2018-02-23 15:04:59.739 INFO  HttpUtil:63 - 卡死位置1
2018-02-23 15:04:59.861 INFO  HttpUtil:68 - 卡死位置2
2018-02-23 15:04:59.861 INFO  HttpUtil:73 - 卡死位置3
2018-02-23 15:04:59.862 INFO  HttpUtil:78 - 卡死位置4
